City,Country,Lat,Lng,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date(dt)
aklavik,CA,68.22,-135.01,46.4,81,90,8.05,1591751029
new norfolk,AU,-42.78,147.06,53.01,72,100,5.01,1591751030
llaillay,CL,-32.85,-70.97,51.8,76,0,5.82,1591751030
iqaluit,CA,63.75,-68.51,33.8,74,90,18.34,1591750970
west bay,KY,19.37,-81.42,84.2,79,20,4.7,1591751030
tura,IN,25.52,90.22,81.75,75,0,2.3,1591751030
aktau,KZ,43.65,51.2,66.2,42,0,11.18,1591751031
jamestown,US,42.1,-79.24,82.4,48,1,5.82,1591750989
ambovombe,MG,-25.17,46.08,62.96,88,0,8.41,1591751031
fasa,IR,28.94,53.65,62.6,33,0,1.25,1591751031
busselton,AU,-33.65,115.33,54.0,62,97,9.31,1591751031
pinole,US,38.0,-122.3,88.0,34,0,8.72,1591750803
upernavik,GL,72.79,-56.15,32.94,93,45,3.94,1591751031
atbasar,KZ,51.8,68.33,66.07,68,0,6.93,1591751032
krasnyy oktyabr,RU,56.12,38.88,60.03,95,0,2.86,1591751032
cherskiy,RU,68.75,161.3,72.77,33,100,15.48,1591751032
saskylakh,RU,71.92,114.08,45.01,56,0,7.2,1591751032
vardo,NO,70.37,31.11,42.55,68,51,8.86,1591751032
hobart,AU,-42.88,147.33,52.0,53,75,9.17,1591750848
hambantota,LK,6.12,81.12,80.6,100,20,11.41,1591751032
uruzgan,AF,32.83,66.0,65.7,28,0,6.35,1591751032
ivolginsk,RU,51.75,107.28,53.6,62,40,2.24,1591751033
nikolskoye,RU,59.7,30.79,62.01,93,75,8.95,1591751045
saint anthony,US,45.02,-93.22,73.4,78,1,3.36,1591751045
tilichiki,RU,60.47,166.1,46.74,71,8,9.1,1591751046
tarija,BO,-21.54,-64.73,61.12,43,10,2.19,1591751046
norman wells,CA,65.28,-126.83,64.4,45,75,16.11,1591751046
beloha,MG,-25.17,45.05,61.97,85,0,9.4,1591751046
provideniya,RU,64.38,-173.3,41.0,86,20,11.18,1591751046
isla mujeres,MX,21.23,-86.73,84.2,79,20,12.75,1591751046
mindelo,CV,16.89,-24.98,77.0,83,40,17.22,1591751046
severo-kurilsk,RU,50.68,156.12,46.96,79,50,15.03,1591751046
batagay-alyta,RU,67.8,130.41,37.9,75,100,6.93,1591751047
kuytun,RU,54.34,101.5,50.36,80,90,9.44,1591751047
namatanai,PG,-3.67,152.43,85.68,68,100,3.62,1591751047
afyonkarahisar,TR,38.75,30.67,60.89,64,28,1.21,1591751047
rawson,AR,-43.3,-65.1,55.42,45,74,29.84,1591751047
saint-pierre,RE,-21.34,55.48,66.2,63,13,12.75,1591751047
egvekinot,RU,66.32,-179.17,58.93,43,0,7.09,1591751047
lasa,IT,46.62,10.7,50.0,100,100,2.93,1591751047
cayenne,GF,4.93,-52.33,78.8,94,90,2.82,1591750806
asyut,EG,27.18,31.18,71.6,53,0,6.93,1591751048
vostok,RU,46.49,135.88,72.09,45,22,9.95,1591751048
winona,US,43.97,-91.77,70.0,100,90,10.29,1591751048
petropavlovsk-kamchatskiy,RU,53.05,158.65,57.2,58,83,13.42,1591751048
gorin,RU,51.2,136.67,73.08,42,98,13.94,1591751048
tessalit,ML,20.2,1.01,95.29,18,14,9.55,1591751048
corinto,GR,37.94,22.96,70.0,62,0,8.48,1591750946
bambui,BR,-20.01,-45.98,66.25,74,68,3.02,1591751049
tiksi,RU,71.69,128.87,31.21,92,100,10.16,1591751049
guerrero negro,MX,27.98,-114.06,79.65,25,0,20.85,1591751049
kattivakkam,IN,13.22,80.32,86.0,70,75,3.36,1591751049
ribeira brava,PT,32.65,-17.07,64.4,63,20,9.17,1591751049
beringovskiy,RU,63.05,179.32,52.23,51,1,5.64,1591751049
homer,US,59.64,-151.55,48.2,81,90,12.75,1591751050
kenai,US,60.55,-151.26,53.6,76,20,6.93,1591751050
san antonio,US,29.42,-98.49,96.01,56,1,3.36,1591750802
harper,LR,4.38,-7.72,77.85,87,100,11.43,1591751050
bac,RS,45.39,19.24,63.0,100,40,4.7,1591751050
port hawkesbury,CA,45.62,-61.35,46.4,93,75,4.7,1591751050
canyon,US,34.98,-101.92,77.0,29,0,4.0,1591751022
tabou,CI,4.42,-7.35,77.65,88,100,10.2,1591751051
esperance,AU,-33.87,121.9,50.0,61,99,12.75,1591751051
bereda,ES,43.27,-7.54,50.0,1,98,3.71,1591751051
bartica,GY,6.4,-58.62,78.8,88,20,4.7,1591751051
havelock,US,34.88,-76.9,79.0,69,1,6.93,1591751051
sinnamary,GF,5.38,-52.95,77.9,84,12,4.7,1591751051
sevierville,US,35.87,-83.56,80.6,69,1,5.82,1591750831
juntas,CR,10.28,-84.96,78.44,82,100,1.81,1591751051
brae,GB,60.4,-1.35,44.6,81,99,5.82,1591751052
saint-philippe,RE,-21.36,55.77,66.2,63,39,12.75,1591751052
jinxiang,CN,22.86,115.7,81.63,87,100,6.44,1591751052
maputo,MZ,-25.97,32.59,63.0,100,0,4.7,1591750915
saldanha,ZA,-33.01,17.94,59.0,87,38,21.92,1591751052
winton,US,37.39,-120.61,91.4,15,5,9.75,1591751052
anzio,IT,41.49,12.62,66.0,91,30,1.99,1591750800
chuy,UY,-33.7,-53.46,52.03,94,0,2.37,1591751052
ibiruba,BR,-28.63,-53.09,61.48,97,77,3.8,1591751053
macia,MZ,-25.03,33.1,59.13,96,0,4.56,1591751053
marinette,US,45.1,-87.63,69.8,60,90,10.29,1591751053
mananjary,MG,-21.22,48.33,66.79,81,37,3.38,1591751053
panaba,MX,21.28,-88.27,81.55,80,47,10.25,1591751053
boende,CD,-0.22,20.87,70.43,96,100,2.24,1591751053
nancha,CN,47.13,129.27,77.47,28,100,5.21,1591751053
asilah,MA,35.47,-6.03,60.8,87,0,1.12,1591751054
la paz,BO,-16.5,-68.15,46.4,31,20,2.24,1591751054
zhanaozen,KZ,43.3,52.8,75.42,21,0,12.68,1591751054
ballybofey,IE,54.8,-7.78,50.02,93,98,3.83,1591751054
alyangula,AU,-13.85,136.42,82.4,65,100,11.41,1591751054
mahebourg,MU,-20.41,57.7,71.6,73,75,16.11,1591751054
xixiang,CN,35.16,112.86,85.6,43,51,2.06,1591751055
eyl,SO,7.98,49.82,84.38,56,0,25.7,1591750926
khani,GE,41.96,42.96,73.4,56,15,19.46,1591751055
viesca,MX,25.35,-102.8,102.2,10,40,13.87,1591751055
kruisfontein,ZA,-34.0,24.73,59.9,44,86,4.05,1591751055
ambilobe,MG,-13.2,49.05,64.09,83,100,3.49,1591751055
pahrump,US,36.21,-115.98,89.01,7,0,1.99,1591750961
hillsboro,US,45.52,-122.99,64.0,82,90,14.99,1591750839
manbij,SY,36.53,37.95,73.4,53,1,4.7,1591751056
karasjok,NO,69.47,25.51,39.2,80,59,6.93,1591751056
salgueiro,BR,-8.07,-39.12,71.96,78,0,11.79,1591750943
muscat,OM,23.61,58.59,89.6,55,0,2.24,1591750783
turukhansk,RU,65.82,87.98,51.76,54,63,3.78,1591751056
daru,PG,-9.08,143.21,79.61,86,88,18.12,1591751056
walvis bay,NA,-22.96,14.51,60.01,93,0,3.04,1591751056
gambela,ET,8.25,34.58,70.2,90,100,3.42,1591751057
jacareacanga,BR,-6.22,-57.75,73.96,88,0,2.51,1591751057
brigantine,US,39.41,-74.36,75.2,60,1,9.17,1591751057
torbay,CA,47.67,-52.73,42.01,100,75,9.17,1591750851
maniitsoq,GL,65.42,-52.9,42.58,81,100,6.82,1591751057
tena,EC,-0.98,-77.82,70.57,86,39,3.2,1591751057
caravelas,BR,-17.71,-39.25,71.87,94,0,3.83,1591751058
bengkulu,ID,-3.8,102.27,79.52,76,4,3.27,1591751058
antalaha,MG,-14.9,50.28,67.17,84,8,8.16,1591751058
ganzhou,CN,28.82,115.43,78.66,91,95,5.14,1591751058
lompoc,US,34.64,-120.46,78.8,29,20,10.29,1591751058
mehran,IR,33.12,46.16,91.89,11,0,8.79,1591751058
fairbanks,US,64.84,-147.72,68.0,51,90,6.93,1591750804
kushmurun,KZ,52.45,64.63,70.14,54,80,6.69,1591751059
abu dhabi,AE,24.47,54.37,89.6,84,20,5.82,1591750981
pemangkat,ID,1.17,108.97,80.91,83,14,7.0,1591751059
ivankiv,UA,50.94,29.89,68.0,68,0,2.24,1591751059
paita,PE,-5.09,-81.11,66.34,79,100,14.76,1591751059
kieta,PG,-6.22,155.63,84.79,70,55,3.06,1591751059
lebu,CL,-37.62,-73.65,52.0,80,100,14.83,1591751059
gat,IL,31.61,34.76,69.01,82,99,1.59,1591750804
laguna,US,38.42,-121.42,93.0,15,1,3.36,1591751060
college,US,64.86,-147.8,68.0,48,75,16.11,1591750991
baruun-urt,MN,46.68,113.28,65.71,30,0,14.16,1591751060
tonantins,BR,-2.87,-67.8,75.99,87,10,2.46,1591751060
sorland,NO,67.67,12.69,44.82,77,22,14.14,1591751060
yatou,CN,37.15,122.38,69.17,91,100,6.78,1591751060
benguela,AO,-12.58,13.41,68.23,84,15,3.09,1591751060
gnjilane,XK,42.46,21.47,57.99,82,20,1.74,1591750812
itarema,BR,-2.92,-39.92,77.23,86,0,8.77,1591751061
norrtalje,SE,59.76,18.7,53.01,60,0,4.83,1591751061
matagami,CA,49.75,-77.63,62.6,40,75,2.24,1591751061
mareeba,AU,-17.0,145.43,77.0,69,40,11.41,1591751061
chake chake,TZ,-5.25,39.77,75.54,81,90,8.72,1591751061
mchinji,MW,-13.8,32.88,52.27,80,25,3.27,1591751061
madimba,TZ,-10.4,40.33,71.6,88,20,5.82,1591751062
bethel,US,41.37,-73.41,75.99,71,44,4.47,1591751062
naron,ES,43.52,-8.15,57.99,87,83,2.24,1591751062
berga,NO,60.39,5.33,48.0,93,40,3.36,1591751062
pangani,TZ,-5.43,38.97,74.14,84,72,6.55,1591751063
vestmannaeyjar,IS,63.44,-20.27,47.39,81,0,13.53,1591750984
cururupu,BR,-1.83,-44.87,74.86,94,4,2.24,1591751064
fujin,CN,47.26,132.03,75.87,50,100,9.6,1591751064
buala,SB,-8.14,159.59,86.25,68,23,6.98,1591751064
havre-saint-pierre,CA,50.23,-63.6,50.0,46,75,6.93,1591751064
plettenberg bay,ZA,-34.05,23.37,63.27,53,0,2.48,1591751064
lusambo,CD,-4.97,23.45,70.7,56,71,2.21,1591751064
katsuura,JP,35.13,140.3,84.0,58,38,16.11,1591751064
coleraine,GB,55.13,-6.67,52.0,93,90,6.93,1591751065
maceio,BR,-9.67,-35.74,75.2,88,75,1.12,1591751065
qingdao,CN,36.1,120.37,72.0,94,90,6.71,1591751065
berlevag,NO,70.86,29.09,41.47,69,30,15.39,1591751065
flinders,AU,-34.58,150.86,61.0,89,100,1.99,1591751065
montanha,BR,-18.13,-40.36,67.66,91,0,5.48,1591751063
seminole,US,28.71,-81.21,80.6,74,75,14.99,1591751066
wajima,JP,37.4,136.9,82.4,48,20,5.82,1591751067
henties bay,NA,-22.12,14.28,60.01,93,0,5.06,1591751067
conceicao do araguaia,BR,-8.26,-49.26,78.8,78,0,1.12,1591751067
san carlos,VE,9.66,-68.58,75.54,91,100,0.76,1591751067
cidreira,BR,-30.18,-50.21,60.87,86,100,2.57,1591751067
emba,KZ,48.83,58.14,70.09,37,19,11.03,1591751067
kavaratti,IN,10.57,72.64,84.38,79,76,14.34,1591751067
kaeo,NZ,-35.1,173.78,61.0,3,70,1.99,1591751067
codrington,AU,-38.27,141.97,50.59,67,6,11.74,1591751067
ahipara,NZ,-35.17,173.17,60.8,65,32,11.25,1591751068
severodvinsk,RU,64.56,39.83,59.0,93,90,7.47,1591751068
pevek,RU,69.7,170.31,49.73,49,100,9.15,1591751068
longyearbyen,SJ,78.22,15.64,39.2,69,75,6.93,1591750918
fort nelson,CA,58.81,-122.7,60.8,55,75,8.05,1591751068
fort-shevchenko,KZ,44.51,50.26,80.04,33,0,13.27,1591751068
skegness,GB,53.14,0.34,53.01,81,100,5.82,1591751068
zhuji,CN,29.72,120.24,77.0,100,90,0.78,1591751068
vanavara,RU,60.34,102.28,59.2,64,99,2.33,1591751069
hualmay,PE,-11.1,-77.61,62.85,84,18,4.99,1591751069
clyde river,CA,70.47,-68.59,33.8,93,90,19.46,1591751069
biak,ID,-0.91,122.88,77.41,83,100,7.54,1591751069
sabha,LY,27.04,14.43,84.54,30,0,13.8,1591751069
tiznit,MA,29.58,-9.5,61.36,76,87,5.01,1591751069
thompson,CA,55.74,-97.86,50.0,93,90,8.05,1591751069
marystown,CA,47.17,-55.15,39.92,93,12,8.9,1591751069
tuatapere,NZ,-46.13,167.68,55.0,78,73,10.0,1591751070
ponta do sol,PT,32.67,-17.1,64.4,63,20,9.17,1591751070
the valley,AI,18.22,-63.06,82.4,69,20,4.7,1591751070
charters towers,AU,-20.1,146.27,68.32,57,100,11.12,1591751070
amuntai,ID,-2.42,115.25,80.13,82,93,1.45,1591751070
jalu,LY,29.03,21.55,79.86,39,0,9.37,1591751070
sambava,MG,-14.27,50.17,68.32,80,56,11.07,1591751070
minab,IR,27.15,57.08,87.8,79,20,6.93,1591751071
yar-sale,RU,66.83,70.83,64.65,71,100,22.39,1591751071
shimanovsk,RU,52.0,127.7,67.12,57,0,10.74,1591751071
dingle,PH,11.0,122.67,85.15,68,100,3.06,1591751071
kachug,RU,53.96,105.88,61.3,46,82,1.68,1591751071
dovolnoye,RU,54.5,79.67,56.26,73,100,5.91,1591751071
ostersund,SE,63.18,14.64,51.8,71,5,8.05,1591751072
san patricio,MX,19.22,-104.7,78.8,83,20,11.41,1591751072
aden,YE,12.78,45.04,87.8,75,0,7.65,1591751072
lavrentiya,RU,65.58,-171.0,39.88,76,88,6.31,1591751072
ketchikan,US,55.34,-131.65,53.6,93,90,26.4,1591750975
dunedin,NZ,-45.87,170.5,54.27,55,0,5.1,1591750840
darhan,MN,49.49,105.92,59.05,45,100,4.99,1591751072
egersund,NO,58.45,6.0,50.0,87,75,3.36,1591751073
bosaso,SO,11.28,49.18,89.91,49,0,9.69,1591751073
shingu,JP,33.73,135.98,71.6,94,75,6.93,1591751073
comodoro rivadavia,AR,-45.87,-67.5,50.0,51,0,26.4,1591750881
bathsheba,BB,13.22,-59.52,80.6,78,40,11.41,1591751073
srednekolymsk,RU,67.45,153.68,73.58,33,100,2.46,1591751073
deputatskiy,RU,69.3,139.9,38.25,77,100,5.46,1591751073
sagu,RO,46.05,21.28,63.0,100,100,4.7,1591751074
virginia beach,US,36.85,-75.98,82.0,69,20,8.05,1591750733
touros,BR,-5.2,-35.46,73.4,100,75,3.36,1591751074
iwanai,JP,42.97,140.51,74.01,52,100,6.29,1591751074
urbano santos,BR,-3.21,-43.4,73.8,97,95,2.26,1591750887
teguldet,RU,57.31,88.17,48.85,84,100,1.83,1591751074
kitob,UZ,39.08,66.83,67.42,31,0,4.38,1591751074
faya,SA,18.39,42.45,73.4,37,16,7.09,1591751074
langsa,ID,4.47,97.97,79.92,90,99,1.63,1591751074
paysandu,UY,-32.32,-58.08,52.21,92,0,6.53,1591751010
burns lake,CA,54.23,-125.75,61.23,43,100,9.66,1591751075
mitchell,US,43.71,-98.03,59.0,82,90,19.46,1591750860
vao,NC,-22.67,167.48,71.89,79,99,25.88,1591751075
midland,US,32.0,-102.08,89.6,7,1,12.75,1591750857
mantua,IT,45.17,10.78,60.01,92,99,1.01,1591751075
sungaipenuh,ID,-2.08,101.38,71.1,80,0,1.83,1591751075
merauke,ID,-8.47,140.33,81.39,77,80,11.14,1591751075
belmonte,BR,-15.86,-38.88,75.2,88,20,5.82,1591751076
padang,ID,-0.95,100.35,81.95,64,0,2.1,1591751076
wenling,CN,28.37,121.36,82.99,91,93,4.0,1591751076
brewster,US,41.4,-73.62,78.8,50,1,9.17,1591751076
todos santos,MX,23.45,-110.22,68.0,79,0,4.0,1591751076
mogadishu,SO,2.04,45.34,79.11,82,94,15.68,1591751076
bilibino,RU,68.05,166.44,69.44,28,43,17.02,1591751076
shimabara,JP,32.78,130.37,80.6,69,20,2.24,1591751076
chesma,RU,53.81,60.65,63.46,66,0,2.42,1591751077
bafoulabe,ML,13.81,-10.83,92.73,36,77,1.77,1591751077
kysyl-syr,RU,63.9,122.76,57.04,54,96,9.86,1591751077
villa carlos paz,AR,-31.42,-64.5,57.99,82,30,8.05,1591751077
meulaboh,ID,4.14,96.13,78.89,83,100,4.36,1591751077
ust-kan,RU,50.93,84.76,47.89,80,81,2.1,1591751077
port pirie,AU,-33.18,138.02,46.4,75,0,3.36,1591751077
shieli,KZ,44.17,66.75,71.08,38,0,11.12,1591751077
high rock,BS,26.62,-78.28,84.2,79,75,2.24,1591751078
saint-joseph,RE,-21.37,55.62,66.2,63,25,12.75,1591751078
naberera,TZ,-4.2,36.93,60.26,89,100,10.71,1591751078
la primavera,CO,5.49,-70.41,78.76,80,80,2.21,1591751078
linhares,BR,-19.39,-40.07,67.41,94,0,0.78,1591750841
oranjemund,NA,-28.55,16.43,57.45,86,1,16.6,1591751078
belaya gora,RU,68.53,146.42,52.5,57,100,15.08,1591751078
khatassy,RU,61.9,129.64,57.2,67,40,6.71,1591751078
kalmar,SE,56.66,16.36,50.0,100,0,2.24,1591751079
bulembu,SZ,-25.97,31.13,53.6,66,0,9.17,1591751079
gloversville,US,43.05,-74.34,73.4,53,40,4.7,1591750792
leh,IN,34.17,77.58,49.05,49,0,5.53,1591751079
nabire,ID,-3.37,135.48,82.67,75,100,1.43,1591751079
saint-augustin,CA,51.23,-58.65,43.61,75,100,1.3,1591751079
ormara,PK,25.21,64.64,83.93,86,61,11.7,1591750924
bud,US,39.45,-86.18,78.01,83,90,14.99,1591751080
yazman,PK,29.12,71.74,95.72,41,0,17.83,1591751080
agadir,MA,30.42,-9.6,66.2,72,0,6.93,1591751080
lake havasu city,US,34.48,-114.32,93.2,5,1,17.22,1591751080
sibolga,ID,1.74,98.78,80.96,69,99,2.17,1591751080
arman,RU,59.7,150.17,48.78,76,100,2.59,1591751080
puerto madryn,AR,-42.77,-65.04,55.9,45,96,38.14,1591750891
calvinia,ZA,-31.47,19.78,45.72,87,0,4.83,1591751081
honiara,SB,-9.43,159.95,89.6,62,20,5.82,1591751081
altay,CN,47.87,88.12,60.53,52,7,2.55,1591751081
tongren,CN,27.72,109.19,79.36,81,69,2.35,1591751081
atambua,ID,-9.11,124.89,79.61,60,12,6.78,1591751081
urdoma,RU,61.75,48.54,62.46,76,0,5.41,1591751081
malakal,SS,9.53,31.66,72.97,89,100,2.57,1591751081
nome,US,64.5,-165.41,51.8,53,90,6.93,1591751082
sao domingos do maranhao,BR,-5.58,-44.39,72.61,91,3,2.73,1591751082
kontagora,NG,10.4,5.47,74.71,89,70,4.59,1591751082
chengde,CN,40.97,117.94,73.54,58,32,4.21,1591751082
kimbe,PG,-5.55,150.14,89.28,60,70,2.98,1591751082
ilulissat,GL,69.22,-51.1,37.4,74,100,3.36,1591751082
sirjan,IR,29.45,55.68,72.36,21,0,4.68,1591751083
guiyang,CN,26.58,106.72,68.0,94,90,2.24,1591750846
shelburne,CA,44.08,-80.2,84.2,42,1,4.7,1591750853
mehamn,NO,71.04,27.85,40.75,69,56,17.05,1591751083
gogrial,SS,8.53,28.1,72.1,89,100,1.9,1591751083
